"",logFC,AveExpr,t,P.Value,adj.P.Val,B
163_249.221386,0.70821,-1.6792e-16,2.6512,0.017301,0.0876,-3.7078
817_393.224834,-0.57809,4.1252e-16,-2.6112,0.018776,0.094411,-3.7847
694_363.274192,-0.50953,-2.72e-16,-2.6104,0.018804,0.094411,-3.7861
225_224.128204,0.71716,-5.8755e-16,2.6047,0.019024,0.095119,-3.797
42_255.231954,0.5735,-4.3368e-16,2.6025,0.01911,0.095155,-3.8013
982_197.126131,-0.53829,2.3523e-16,-2.59,0.019603,0.097206,-3.8251
1173_235.914624,0.64625,1.8405e-16,2.5851,0.019799,0.097775,-3.8345
738_185.432193,0.53669,5.5511e-18,2.5705,0.020395,0.10017,-3.8622
77_557.282513,0.63379,3.5527e-16,2.5692,0.020451,0.10017,-3.8648
975_470.072365,-0.69884,1.5821e-16,-2.5655,0.020607,0.10052,-3.8719
734_231.159176,-0.63315,5.2736e-16,-2.5379,0.021793,0.1055,-3.9242
915_345.274861,-0.72742,7.1332e-16,-2.5377,0.021803,0.1055,-3.9246
248_391.125946,-0.68693,-6.2311e-16,-2.516,0.022779,0.10978,-3.9655
740_221.982214,-0.70158,4.4474e-16,-2.5123,0.022953,0.11018,-3.9726
916_556.280648,0.66308,-1.8249e-16,2.5075,0.023173,0.11079,-3.9815
1175_110.779388,-0.49341,8.0769e-16,-2.5024,0.023414,0.11149,-3.9911
198_613.340526,-0.70527,3.1052e-16,-2.4965,0.023694,0.11238,-4.0022
1035_379.120329,-0.65471,-6.5503e-16,-2.4717,0.024908,0.11768,-4.0487
103_365.105522,-0.62676,3.4773e-16,-2.4548,0.025769,0.12127,-4.0802
1002_255.859836,-0.5501,-6.3491e-16,-2.4419,0.026445,0.12385,-4.1043
1083_289.177512,0.57493,-7.6189e-16,2.4405,0.026524,0.12385,-4.107
928_191.104328,0.59394,-3.7366e-16,2.4367,0.026726,0.12431,-4.1141
878_192.759782,0.60734,-5.3638e-16,2.4289,0.027145,0.12577,-4.1285
1190_432.693734,0.65703,6.1895e-16,2.4239,0.027421,0.12656,-4.1379
1198_156.362178,0.55413,2.0262e-16,2.4108,0.028145,0.12658,-4.162
153_709.470666,-0.77095,2.5327e-16,-2.4077,0.028319,0.12658,-4.1677
777_138.088983,-0.54525,1.0464e-15,-2.4023,0.02863,0.12658,-4.1778
862_227.089088,-0.48064,-8.0248e-16,-2.3976,0.028899,0.12658,-4.1864
997_278.642027,0.63539,-4.774e-16,2.3669,0.030723,0.12658,-4.2429
1005_326.126226,0.62343,3.5111e-16,2.3607,0.031106,0.12658,-4.2543
852_230.247931,-0.59747,7.0395e-16,-2.3568,0.031346,0.12658,-4.2614
977_408.810649,-0.48323,2.5466e-16,-2.3564,0.031367,0.12658,-4.262
636_311.255771,-0.47991,1.2955e-15,-2.3526,0.031606,0.12658,-4.2691
121_313.23503,-0.55158,-1.9706e-16,-2.3331,0.032852,0.12658,-4.3046
770_299.110221,-0.534,8.2781e-16,-2.326,0.033315,0.12658,-4.3175
214_253.107146,-0.60757,-3.5041e-16,-2.3042,0.034782,0.12658,-4.3571
1008_277.177514,-0.44422,8.9005e-16,-2.3012,0.03499,0.12658,-4.3626
996_261.847027,-0.60448,-6.7307e-16,-2.2983,0.035191,0.12658,-4.3678
142_241.216301,0.49836,-1.147e-15,2.2686,0.037313,0.12658,-4.4214
270_562.364139,-0.65598,4.3993e-16,-2.2555,0.038285,0.12658,-4.4449
64_556.279102,0.60503,3.2474e-16,2.2508,0.038636,0.12658,-4.4533
872_304.299231,-0.45213,-5.4973e-16,-2.2365,0.039731,0.12658,-4.4787
851_192.992425,0.56203,-1.8096e-16,2.2309,0.040167,0.12658,-4.4887
936_268.154433,0.56042,5.3742e-16,2.2302,0.040221,0.12658,-4.4899
168_215.200639,0.48105,2.4911e-16,2.2293,0.040297,0.12658,-4.4917
95_605.38706,-0.52484,1.9429e-16,-2.2247,0.040654,0.12658,-4.4997
263_249.109821,-0.57202,-3.3723e-16,-2.218,0.041192,0.12658,-4.5117
949_208.37296,-0.67103,-5.5234e-16,-2.2174,0.041237,0.12658,-4.5127
691_316.211948,0.62971,1.7139e-16,2.2148,0.041451,0.12658,-4.5174
1000_295.115306,-0.57617,1.6653e-17,-2.2148,0.041452,0.12658,-4.5174
969_349.162254,-0.42576,-1.5488e-15,-2.2137,0.041541,0.12658,-4.5193
1053_241.954057,0.55016,5.7107e-16,2.2114,0.041729,0.12658,-4.5235
366_628.094749,-0.60494,3.2196e-16,-2.2042,0.042316,0.12658,-4.5361
212_258.20647,-0.43728,-8.6181e-16,-2.2017,0.042525,0.12658,-4.5406
126_556.273276,0.51855,-6.1444e-16,2.2016,0.042528,0.12658,-4.5407
1530_889.034379,-0.58158,6.9111e-16,-2.199,0.042743,0.12658,-4.5453
243_158.002904,-0.58026,5.0515e-16,-2.1984,0.042794,0.12658,-4.5464
1985_655.224032,-0.57843,2.7756e-18,-2.1982,0.042808,0.12658,-4.5467
2006_649.958762,-0.58095,1.6098e-16,-2.1978,0.042844,0.12658,-4.5474
1490_889.038803,-0.57686,-3.3307e-16,-2.1974,0.042875,0.12658,-4.5481
2258_622.079641,-0.57041,5.3846e-16,-2.1955,0.043036,0.12658,-4.5515
1093_103.591393,-0.56897,5.3846e-16,-2.1951,0.043069,0.12658,-4.5522
2549_636.791136,-0.56555,-3.525e-16,-2.1938,0.043175,0.12658,-4.5544
2405_672.962006,-0.56673,3.5527e-16,-2.1934,0.04321,0.12658,-4.5552
1587_644.794763,-0.56334,5.4678e-16,-2.1929,0.043254,0.12658,-4.5561
2576_681.886093,-0.56115,-3.4972e-16,-2.1927,0.043269,0.12658,-4.5564
2627_648.653363,-0.56046,-3.6915e-16,-2.1922,0.043312,0.12658,-4.5573
3080_640.723602,-0.55858,-7.1609e-16,-2.1919,0.043343,0.12658,-4.5579
1655_888.32014,-0.56298,9.1316e-16,-2.1915,0.043375,0.12658,-4.5586
567_580.89221,-0.55474,5.4123e-16,-2.1906,0.043448,0.12658,-4.5601
1436_889.044526,-0.55371,-1.8319e-16,-2.1901,0.043493,0.12658,-4.5611
1715_589.479264,-0.54909,1.1102e-17,-2.1886,0.043616,0.12658,-4.5637
1143_280.264007,-0.55119,1.9151e-16,-2.1884,0.043636,0.12658,-4.5641
1743_719.650505,-0.55323,5.5789e-16,-2.1881,0.04366,0.12658,-4.5646
3597_589.637802,-0.55118,-1.9151e-16,-2.1875,0.043713,0.12658,-4.5657
3866_721.694865,-0.54701,1.9151e-16,-2.1873,0.043725,0.12658,-4.5659
1821_254.845505,-0.5441,-3.7748e-16,-2.187,0.043753,0.12658,-4.5665
3734_555.288276,-0.54894,-1.7486e-16,-2.1869,0.043759,0.12658,-4.5666
3865_664.703067,-0.54688,-3.6637e-16,-2.1868,0.043771,0.12658,-4.5669
527_563.475331,-0.54304,-1.9984e-16,-2.1866,0.043786,0.12658,-4.5672
