"",logFC,AveExpr,t,P.Value,adj.P.Val,B
102_228.232285,-0.84608,-1.8804e-16,-4.4981,0.00051081,0.0046438,-0.24038
691_316.211948,1.3028,-7.6328e-18,4.4862,0.00052253,0.0047145,-0.26305
73_302.1963,1.3744,7.9797e-17,4.4597,0.00054968,0.0048868,-0.3137
215_331.284378,-0.85675,-7.272e-16,-4.4589,0.00055055,0.0048868,-0.31528
1306_332.33193,0.88784,-6.5781e-16,4.4528,0.00055701,0.0048868,-0.32695
159_411.39862,1.028,5.7662e-16,4.4512,0.0005587,0.0048868,-0.32999
1128_254.96179,-0.91679,4.7323e-16,-4.4456,0.00056467,0.0048868,-0.3406
866_262.091934,0.93428,6.3283e-16,4.4443,0.00056605,0.0048868,-0.34305
1113_561.397176,-0.97221,-5.7176e-16,-4.4065,0.00060855,0.0052161,-0.4154
683_383.116082,1.1858,-4.5797e-16,4.3466,0.00068257,0.0058091,-0.53006
851_192.992425,0.96359,1.5821e-16,4.338,0.00069398,0.0058646,-0.54663
232_737.465585,-0.95618,-7.3275e-16,-4.3088,0.00073412,0.0061604,-0.60276
1067_367.245576,-0.89403,-4.6942e-16,-4.2707,0.00078999,0.0065833,-0.67597
999_299.167642,0.93375,-1.5821e-16,4.2601,0.00080634,0.0066732,-0.69641
709_238.927755,-1.2478,-3.1364e-16,-4.236,0.00084462,0.0069421,-0.74268
1050_339.216687,-0.83541,-7.3275e-16,-4.2308,0.00085315,0.0069645,-0.7527
235_487.231212,-0.93137,7.6328e-18,-4.2119,0.00088497,0.0071755,-0.78922
786_239.237037,-1.0814,-2.6645e-16,-4.2066,0.00089413,0.0072011,-0.79949
1108_307.115302,-0.81839,-2.7756e-18,-4.1529,0.00099221,0.0079377,-0.90323
614_301.17805,-0.99019,-4.2466e-16,-4.1387,0.0010198,0.0081042,-0.93053
139_425.178263,0.99711,-5.3638e-16,4.1252,0.0010469,0.0082652,-0.9567
965_272.162199,-0.92501,1.471e-16,-4.11,0.0010783,0.0084571,-0.9861
1142_103.631254,-0.86523,-4.7254e-16,-4.0807,0.0011416,0.0088956,-1.0429
234_500.333037,1.0502,-2.5258e-16,4.0364,0.0012443,0.0096332,-1.1286
231_503.319054,1.0185,-1.1987e-16,3.9932,0.0013538,0.010414,-1.2125
1170_286.237763,-0.78529,5.5234e-16,-3.9599,0.0014449,0.011044,-1.2772
947_267.26834,-0.90633,-5.5511e-18,-3.9397,0.0015032,0.011416,-1.3165
958_231.210817,0.89951,4.7462e-16,3.919,0.0015654,0.011814,-1.3568
220_523.302994,-0.83913,5.218e-16,-3.9034,0.0016138,0.012103,-1.387
1078_318.143723,0.84835,5.107e-16,3.8814,0.001685,0.012559,-1.4299
236_326.23268,-0.90764,6.0646e-16,-3.8753,0.0017053,0.012632,-1.4417
833_443.232963,-1.1716,-4.1633e-16,-3.8716,0.0017176,0.012645,-1.4489
1124_125.024753,0.78651,7.494e-16,3.8481,0.0017989,0.013163,-1.4948
976_217.047216,-0.78092,-7.272e-16,-3.837,0.0018385,0.013371,-1.5164
1016_443.205061,-0.83918,1.3878e-18,-3.7668,0.0021104,0.015256,-1.653
1105_107.734598,0.81433,-1.5821e-16,3.7566,0.0021533,0.015473,-1.6729
1158_205.068343,0.85505,4.7462e-16,3.7346,0.0022485,0.01606,-1.7157
105_216.159504,0.8861,4.5693e-16,3.7313,0.0022633,0.016071,-1.7222
993_311.028663,0.81227,3.4417e-16,3.7034,0.0023914,0.01688,-1.7767
230_294.206475,0.85396,1.471e-16,3.6415,0.002702,0.018961,-1.8974
1025_572.436723,0.99951,-5.3412e-16,3.6038,0.0029111,0.02031,-1.971
737_201.148603,0.72429,-1.9984e-16,3.597,0.0029502,0.020444,-1.9841
1218_323.18299,-0.75452,-7.3413e-16,-3.5946,0.0029644,0.020444,-1.9889
1012_177.957735,-0.83039,-4.7878e-16,-3.5914,0.0029831,0.020455,-1.9951
996_261.847027,-0.97611,-2.609e-16,-3.5842,0.0030258,0.020631,-2.0091
62_243.231947,0.73601,-5.7038e-16,3.5794,0.0030546,0.020709,-2.0184
146_230.175161,0.74546,9.3675e-16,3.572,0.0030994,0.020895,-2.0328
1187_537.25163,-0.80379,4.885e-16,-3.5538,0.0032132,0.021541,-2.0683
1062_493.22561,0.78403,1.7555e-16,3.5464,0.0032608,0.021701,-2.0828
210_272.222126,0.82211,-6.3369e-16,3.5445,0.0032732,0.021701,-2.0866
727_312.326187,-1.0474,2.4702e-16,-3.5393,0.0033065,0.021748,-2.0965
921_385.292527,-0.84105,7.8826e-16,-3.5378,0.0033166,0.021748,-2.0996
894_340.188413,-0.90062,1.6653e-17,-3.5299,0.0033688,0.02188,-2.1149
167_177.007108,-1.0016,3.9552e-16,-3.5293,0.0033731,0.02188,-2.1162
854_277.2163,-0.85191,3.289e-16,-3.5249,0.0034021,0.021949,-2.1246
229_547.345327,0.94125,3.9959e-16,3.5056,0.0035346,0.022682,-2.1622
975_470.072365,-0.85733,-4.2744e-16,-3.5013,0.0035648,0.022754,-2.1706
