peakID,Control1,Control2,Control3,Control4,Control5,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,Serum-free1,Serum-free2,Serum-free3,Serum-free4,Serum-free5,RA1,RA2,RA3,RA4,RA5
517_613.981748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606841.833,0
518_749.027865,0,0,0,0,0,0,2002307.278,0,0,0,0,0,0,0,0,0,0,0,0,0
519_649.964335,0,0,0,0,0,0,2121716.651,0,0,0,0,0,0,0,0,0,0,0,0,0
520_543.516767,0,0,0,1978151.039,0,2691808.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521_903.76771,0,0,0,0,1993133.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901944.856
522_664.20122,0,2951192.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523_605.131554,0,0,0,0,0,4147307.98,0,0,0,0,0,1611334.625,0,0,0,0,0,0,0,0
524_623.914535,2458792.214,0,0,0,0,0,0,2379859.368,0,0,0,0,0,0,0,0,0,0,0,0
525_543.300629,0,0,0,0,0,0,1590655.721,0,0,0,0,0,0,0,0,0,0,0,0,0
526_551.675999,0,0,0,0,0,0,0,2026998.113,0,0,0,0,0,0,0,1475286.465,0,0,0,0
527_563.475331,0,2264075.646,0,0,2293532.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528_556.122142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529_731.927358,0,0,0,0,0,0,0,0,0,3748963.88,0,0,0,0,0,0,0,0,0,0
530_630.85053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173530.102,0,0,0,0,0
531_564.984395,0,0,0,0,0,0,0,0,0,0,0,1542415.125,1497849.93,0,0,0,0,0,0,0
532_614.216714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111613.589,0,0,0,0,0
533_890.277411,0,0,0,0,0,0,0,0,0,0,0,0,1486416.905,0,0,1629488.89,0,0,0,0
534_692.321796,0,0,0,0,0,0,0,0,3355059.956,0,0,0,0,0,0,0,2071841.131,0,0,0
535_599.647079,0,0,1836693.097,0,2842823.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_542.987596,0,0,0,0,0,0,0,2013446.556,0,0,0,1288090.75,0,0,0,0,0,0,0,0
537_566.112956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538_563.822992,0,0,0,0,0,0,0,0,0,0,1682446.817,0,0,0,0,0,0,0,0,0
539_602.863968,0,2520047.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540_601.445813,0,0,0,2424262.482,0,0,0,0,2990581.793,0,0,0,0,0,0,0,0,0,0,0
541_572.836261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542_828.531337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530963.315,0,0,0,0,0
543_547.191868,0,0,1673369.611,0,0,0,0,0,0,0,0,1382908.75,0,0,0,0,0,0,0,0
544_778.357462,0,0,0,0,2710403.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545_317.183661,0,0,0,1644060.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546_555.775138,0,0,1592893.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547_945.58522,0,0,0,0,0,0,0,1704104.032,0,0,0,0,0,0,0,0,0,0,0,0
548_692.202958,0,0,0,2293155.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549_622.961859,0,0,0,0,0,3314105.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550_542.527001,0,0,0,0,0,0,0,0,0,2985470.082,0,0,0,0,0,0,0,1930847.061,0,0
551_596.919329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552_591.819408,0,0,0,2320404.191,0,0,0,0,0,0,0,0,1696791.643,0,0,0,0,0,0,0
553_597.273246,0,0,1881394.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554_621.584776,0,0,0,0,0,0,0,0,0,3253450.043,2288422.23,0,0,0,0,0,0,0,0,0
555_612.742121,2670040.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670784.158,0,0
556_558.214505,0,0,0,0,0,2750827.398,0,0,0,0,0,0,0,0,0,0,0,0,2055483.703,0
557_557.55231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558_556.042937,0,0,0,0,0,0,0,0,0,0,1968344.452,0,0,0,0,0,0,0,1862480.163,0
559_558.639948,0,0,0,0,0,2883531.372,0,1897774.687,0,0,0,0,0,0,0,0,0,0,0,0
560_572.377859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012226.739,2790041.239,0,0
561_772.396706,0,0,0,0,0,0,0,0,0,3302968.51,0,0,0,0,1737961.773,0,0,0,0,0
562_555.094931,0,1876081.911,0,0,0,0,0,0,0,0,1883256.596,0,0,0,0,0,0,0,0,0
563_576.040318,0,0,0,2109117.144,0,0,0,0,3176255.236,0,0,0,0,0,0,0,0,0,0,0
564_498.810405,0,3645906.873,0,0,0,0,0,0,0,0,0,1339356,0,0,0,0,0,0,0,0
565_557.367097,0,0,0,0,0,0,0,0,0,0,0,0,1331670.696,2398565.771,0,0,0,0,0,0
566_542.768485,0,0,0,0,2250624.076,0,0,1623372.26,0,0,0,0,0,0,0,0,0,0,0,0
567_580.89221,0,2471695.586,0,0,2467263.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568_783.654065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
