"",logFC,AveExpr,t,P.Value,adj.P.Val,B
4445_477.308965,0.5073,-3.8025e-16,1.754,0.083978,0.34151,-4.5031
3504_606.36821,0.50701,-7.9381e-16,1.7533,0.084106,0.34151,-4.5043
3837_749.696637,0.50806,3.6082e-16,1.753,0.084153,0.34151,-4.5047
4207_184.133275,0.50716,7.7438e-16,1.7522,0.084303,0.34151,-4.5061
183_514.348689,0.52877,-1.5196e-16,1.7518,0.084358,0.34151,-4.5066
1120_383.014099,0.50898,3.7748e-16,1.7515,0.084425,0.34151,-4.5072
1335_327.994236,0.50821,5.7454e-16,1.751,0.084511,0.34151,-4.508
288_322.862665,0.51075,-7.1887e-16,1.7509,0.084528,0.34151,-4.5081
1687_665.081991,0.50575,-7.9936e-16,1.7495,0.084759,0.34151,-4.5102
5024_833.45836,0.50512,-5.8564e-16,1.7476,0.08509,0.34151,-4.5132
1375_544.975929,0.51009,-7.4385e-16,1.7476,0.085101,0.34151,-4.5133
3695_599.862354,0.50322,2.1372e-16,1.7417,0.086135,0.34151,-4.5226
4246_552.719427,0.50329,-3.8858e-16,1.7389,0.086621,0.34151,-4.5269
583_825.361776,0.50235,-7.9936e-16,1.7386,0.086686,0.34151,-4.5274
1276_173.07849,0.50019,7.9659e-16,1.7329,0.087699,0.34151,-4.5363
3744_582.212137,0.50014,9.881e-16,1.7308,0.088067,0.34151,-4.5395
712_387.055685,0.50528,-9.1871e-16,1.7306,0.088108,0.34151,-4.5399
1341_202.986386,0.49912,4.1078e-16,1.7298,0.088257,0.34151,-4.5412
177_318.167676,-0.49221,-2.3592e-16,-1.7298,0.08826,0.34151,-4.5412
467_666.117533,0.49891,6.0785e-16,1.7291,0.088384,0.34151,-4.5423
708_217.143524,0.50641,-7.1436e-16,1.729,0.088401,0.34151,-4.5424
4720_513.364791,0.49944,-7.7993e-16,1.7281,0.088564,0.34151,-4.5438
1771_827.61823,0.49785,-4.0246e-16,1.7249,0.089132,0.34151,-4.5487
4574_549.068555,0.49718,-4.0523e-16,1.7239,0.089326,0.34151,-4.5503
1402_382.967209,0.49788,3.9135e-16,1.7229,0.089498,0.34151,-4.5518
711_361.133162,0.49879,9.7145e-16,1.7228,0.089517,0.34151,-4.552
4102_553.825496,0.49656,-1.0103e-15,1.7221,0.089652,0.34151,-4.5531
4627_556.842813,0.49695,-8.0214e-16,1.7217,0.089722,0.34151,-4.5537
1458_225.018652,0.50171,5.6621e-16,1.7215,0.089748,0.34151,-4.5539
1321_411.181254,0.49552,6.0785e-16,1.7185,0.090314,0.34151,-4.5587
1863_130.965304,0.49605,-7.9936e-16,1.7169,0.090602,0.34151,-4.5612
1898_832.968395,0.49439,-4.1078e-16,1.7153,0.0909,0.34151,-4.5637
1885_837.469886,0.49409,6.245e-16,1.7145,0.091041,0.34151,-4.5648
4080_573.569205,0.49299,-2.7756e-18,1.7114,0.091609,0.34151,-4.5696
5065_327.264318,0.49284,-6.1062e-16,1.711,0.091694,0.34151,-4.5703
4822_894.060279,0.49295,-8.1601e-16,1.7095,0.091962,0.34151,-4.5725
4846_841.422385,0.49253,-8.3267e-18,1.7083,0.092185,0.34151,-4.5743
1975_531.088605,0.49222,-6.023e-16,1.7082,0.092207,0.34151,-4.5745
4777_535.13875,0.491,4.0523e-16,1.7008,0.093601,0.3456,-4.5859
4825_544.576463,0.48975,4.0523e-16,1.6968,0.094361,0.34564,-4.5921
4687_538.763722,0.48882,-2.0262e-16,1.6963,0.094447,0.34564,-4.5928
5427_539.80493,0.48797,4.2188e-16,1.6962,0.094474,0.34564,-4.593
4866_912.436777,0.48815,8.0769e-16,1.6939,0.094917,0.3462,-4.5965
5035_843.687746,0.48659,-6.2728e-16,1.6921,0.095259,0.3464,-4.5993
1937_535.950424,0.48671,6.0785e-16,1.6847,0.096687,0.35027,-4.6105
882_341.266329,-0.47188,1.1196e-15,-1.6835,0.096907,0.35027,-4.6123
1523_496.339867,0.48374,-6.356e-16,1.6813,0.097348,0.3508,-4.6157
5142_553.23446,0.48247,-1.0436e-15,1.6789,0.097812,0.35142,-4.6193
1262_377.141915,0.49416,3.5631e-16,1.6752,0.098539,0.352,-4.6249
670_319.262698,0.48018,-4.2466e-16,1.6726,0.099059,0.352,-4.6289
4976_920.501229,0.48104,6.2728e-16,1.6724,0.099094,0.352,-4.6292
5388_915.394454,0.47935,2.0262e-16,1.6691,0.099747,0.352,-4.6341
5411_313.248676,0.4783,2.1372e-16,1.6666,0.10025,0.352,-4.6379
5187_843.212125,0.47706,8.5626e-16,1.6633,0.10091,0.352,-4.6429
918_229.143535,0.47678,-2.2621e-16,1.6612,0.10133,0.352,-4.646
5423_511.930654,0.47669,4.205e-16,1.6609,0.10139,0.352,-4.6464
15_203.052691,0.50165,-7.5287e-16,1.6595,0.10166,0.352,-4.6485
634_297.240115,-0.46378,-1.1727e-15,-1.6595,0.10168,0.352,-4.6486
1154_319.151689,0.47659,-1.0519e-15,1.6591,0.10174,0.352,-4.6491
1323_287.092463,0.47709,1.0436e-15,1.659,0.10178,0.352,-4.6494
