"Bucket.label","m.z","Name","Formula","peakid","difkegg","closestkegg","ckeggname","ckeggform","rdif","allkegg","allkeggnames","valid"
"674.6055945517 Da",675.612871,"","","2740_675.612871",8.38369455170005,"C01613","Stachyose","C24H42O21",0.0125839372012539,"","",FALSE
"685.5479706203 Da",686.555247,"","C36H67N11O2","2741_686.555247",1.60092937970001,"C00882","Dephospho-CoA","C21H35N7O13P2S",0.00232981436730817,"","",FALSE
"606.1694490661 Da",607.176726,"","C22H43N2O7PS4","2742_607.176726",0.912150933899966,"C00043","UDP-N-acetyl-alpha-D-glucosamine","C17H27N3O17P2",0.00150251783928218,"","",FALSE
"597.9927732487 Da",599.00005,"","C19H11N12O4PS3","2743_599.00005",3.08942675129992,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00513977414619818,"","",FALSE
"606.5534901083 Da",607.560767,"","","2744_607.560767",0.528109891699955,"C00043","UDP-N-acetyl-alpha-D-glucosamine","C17H27N3O17P2",0.000869915826307296,"C00043|C00203","UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-galactosamine",FALSE
"612.3114893131 Da",613.318766,"","C27H52N2O9S2","2745_613.318766",0.159489313099925,"C00127","Glutathione disulfide","C20H32N6O12S2",0.000260538743808605,"C00127","Glutathione disulfide",FALSE
"666.2320160201 Da",667.239292,"","C26H26N20OS","2746_667.239292",0.0101160200999857,"C01613","Stachyose","C24H42O21",1.51841602624977e-05,"C01613","Stachyose",FALSE
"649.5451483852 Da",650.552425,"","","2747_650.552425",1.24485161479993,"C02465","Triiodothyronine","C15H12I3NO4",0.00191283150447906,"","",FALSE
"619.1352305100 Da",620.142507,"","C26H25N11O2S3","2748_620.142507",0.866230510000037,"C16542","APC","C33H38N4O8",0.00140105764642904,"","",FALSE
"625.8949411113 Da",626.902218,"","C28H10N4S7","2749_626.902218",0.591641111299964,"C02166","Leukotriene C4","C30H47N3O9S",0.000946166622341452,"C02166","Leukotriene C4",FALSE
"717.5589982710 Da",718.566275,"","C49H71N3O","2750_718.566275",0.287198270999966,"C04489","5-Methyltetrahydropteroyltri-L-glutamate","C30H39N9O12",0.000400403683791787,"C04489","5-Methyltetrahydropteroyltri-L-glutamate",FALSE
"570.2728635695 Da",571.28014,"Pipercyclobutanamide A","C34H38N2O6","2751_571.28014",1.96786356950008,"C01079","Protoporphyrinogen IX","C34H40N4O4",0.0034626891713078,"","",FALSE
